"Lang","Name","Value"
"en","overscan_info","Use your TV service menu|or potenciometers to|adjust the yellow|borders pointed out by|the arrows until they|are barely visible at|the limits of the|screen.|Make sure there is not|any visible black area.|Do note that some TVs do|not save the customized|parameters in 60Hz."
"es","overscan_info","Utilice el menú de|servicio de su TV o|potenciómetros para|ajustar los bordes|amarillos señalados por|las flechas hasta que|sean apenas visibles en|los límites de lapantalla.|Asegúrese de que no|existe ningún área negra|visible.|Nótese que existen TVs|que no guardan la|configuración en 60Hz."
"fr","overscan_info","Use your TV service menu|or potenciometers to|adjust the yellow|borders pointed out by|the arrows until they|are barely visible at|the limits of the|screen.|Make sure there is not|any visible black area.|Do note that some TVs do|not save the customized|parameters in 60Hz."
"it","overscan_info","Use your TV service menu|or potenciometers to|adjust the yellow|borders pointed out by|the arrows until they|are barely visible at|the limits of the|screen.|Make sure there is not|any visible black area.|Do note that some TVs do|not save the customized|parameters in 60Hz."
"pt","overscan_info","Use your TV service menu|or potenciometers to|adjust the yellow|borders pointed out by|the arrows until they|are barely visible at|the limits of the|screen.|Make sure there is not|any visible black area.|Do note that some TVs do|not save the customized|parameters in 60Hz."
"se","overscan_info","Använd TVns egna servicemeny|eller potentiometrar till|att justera de gula|ramarna utmärkta av|pilarna tills de|knappt syns vid|skärmens kanter.|Säkerställ att ingen|svart yta syns.|Märk väl att vissa TV-skärmar|inte sparar ändrade|inställningar i 60Hz."
"de","pair_bt_info","Verbinde..."
"en","pair_bt_info","Pairing..."
"es","pair_bt_info","Emparejando..."
"fr","pair_bt_info","Appairage..."
"it","pair_bt_info","Accoppiando..."
"pt","pair_bt_info","Emparelhando..."
"se","pair_bt_info","Parar..."
"de","pair_bt_joy_0","<joystick>"
"en","pair_bt_joy_0","<joystick>"
"es","pair_bt_joy_0","<joystick>"
"fr","pair_bt_joy_0","<joystick>"
"it","pair_bt_joy_0","<joystick>"
"pt","pair_bt_joy_0","<joystick>"
"se","pair_bt_joy_0","<joystick>"
"de","pair_bt_joy_1","<joystick>"
"en","pair_bt_joy_1","<joystick>"
"es","pair_bt_joy_1","<joystick>"
"fr","pair_bt_joy_1","<joystick>"
"it","pair_bt_joy_1","<joystick>"
"pt","pair_bt_joy_1","<joystick>"
"se","pair_bt_joy_1","<joystick>"
"de","pair_bt_joy_2","<joystick>"
"en","pair_bt_joy_2","<joystick>"
"es","pair_bt_joy_2","<joystick>"
"fr","pair_bt_joy_2","<joystick>"
"it","pair_bt_joy_2","<joystick>"
"pt","pair_bt_joy_2","<joystick>"
"se","pair_bt_joy_2","<joystick>"
"de","pair_bt_joy_3","<joystick>"
"en","pair_bt_joy_3","<joystick>"
"es","pair_bt_joy_3","<joystick>"
"fr","pair_bt_joy_3","<joystick>"
"it","pair_bt_joy_3","<joystick>"
"pt","pair_bt_joy_3","<joystick>"
"se","pair_bt_joy_3","<joystick>"
"de","pair_bt_joy_4","<joystick>"
"en","pair_bt_joy_4","<joystick>"
"es","pair_bt_joy_4","<joystick>"
"fr","pair_bt_joy_4","<joystick>"
"it","pair_bt_joy_4","<joystick>"
"pt","pair_bt_joy_4","<joystick>"
"se","pair_bt_joy_4","<joystick>"
"de","pair_bt_joy_5","<joystick>"
"en","pair_bt_joy_5","<joystick>"
"es","pair_bt_joy_5","<joystick>"
"fr","pair_bt_joy_5","<joystick>"
"it","pair_bt_joy_5","<joystick>"
"pt","pair_bt_joy_5","<joystick>"
"se","pair_bt_joy_5","<joystick>"
"de","pair_bt_joy_6","<joystick>"
"en","pair_bt_joy_6","<joystick>"
"es","pair_bt_joy_6","<joystick>"
"fr","pair_bt_joy_6","<joystick>"
"it","pair_bt_joy_6","<joystick>"
"pt","pair_bt_joy_6","<joystick>"
"se","pair_bt_joy_6","<joystick>"
"de","pair_bt_joy_7","<joystick>"
"en","pair_bt_joy_7","<joystick>"
"es","pair_bt_joy_7","<joystick>"
"fr","pair_bt_joy_7","<joystick>"
"it","pair_bt_joy_7","<joystick>"
"pt","pair_bt_joy_7","<joystick>"
"se","pair_bt_joy_7","<joystick>"
"de","password","Password"
"en","password","Password"
"es","password","Password"
"fr","password","Password"
"it","password","Password"
"pt","password","Password"
"se","password","Password"
"de","pc_31_120","PC 31kHz/120Hz"
"en","pc_31_120","PC 31kHz/120Hz"
"es","pc_31_120","PC 31kHz/120Hz"
"fr","pc_31_120","PC 31kHz/120Hz"
"it","pc_31_120","PC 31kHz/120Hz"
"pt","pc_31_120","PC 31kHz/120Hz"
"se","pc_31_120","PC 31kHz/120Hz"
"de","pce","PCE"
"en","pce","PCE"
"es","pce","PCE"
"fr","pce","PCE"
"it","pce","PCE"
"pt","pce","PCE"
"se","pce","PCE"
"de","playlist","Playlists"
"en","playlist","Playlists"
"es","playlist","Playlists"
"fr","playlist","Playlists"
"it","playlist","Playlists"
"pt","playlist","Playlists"
"se","playlist","Spellistor"
"de","preset","Voreinstellung"
"en","preset","Preset"
"es","preset","Preestablecido"
"fr","preset","Preset"
"it","preset","Preset"
"pt","preset","Preset"
"se","preset","Stil"
"de","press_for","Drücke für..."
"en","press_for","Press for..."
"es","press_for","Presiona para..."
"fr","press_for","Appuyer pour..."
"it","press_for","Premi per..."
"pt","press_for","Pressiona para..."
"se","press_for","Tryck för..."
"de","psx","PSX"
"en","psx","PSX"
"es","psx","PSX"
"fr","psx","PSX"
"it","psx","PSX"
"pt","psx","PSX"
"se","psx","PSX"
"de","psx_control","Controller Typ PSX"
"en","psx_control","PSX Pad Type"
"es","psx_control","Tipo Control PSX"
"fr","psx_control","PAD Type PSX"
"it","psx_control","Pad Tipo PSX"
"pt","psx_control","Tipo Controlo PSX"
"se","psx_control","PSX knapptyp"
"pt","pt","Português"
"de","pvm-style-d93-fbx","Sony-PVM"
"en","pvm-style-d93-fbx","Sony-PVM"
"es","pvm-style-d93-fbx","Sony-PVM"
"fr","pvm-style-d93-fbx","Sony-PVM"
"it","pvm-style-d93-fbx","Sony-PVM"
"pt","pvm-style-d93-fbx","Sony-PVM"
"se","pvm-style-d93-fbx","Sony-PVM"
"de","ram_mem","RAM"
"en","ram_mem","RAM"
"es","ram_mem","RAM"
"fr","ram_mem","RAM"
"it","ram_mem","RAM"
"pt","ram_mem","RAM"
"se","ram_mem","RAM"
"de","reboot","Reboot"
"en","reboot","Reboot"
"es","reboot","Reiniciar"
"fr","reboot","Redémarrage"
"it","reboot","Riavvia"
"pt","reboot","Reboot"
"se","reboot","Starta Om"
"de","reboot_info","Neustart..."
"en","reboot_info","Rebooting..."
"es","reboot_info","Reiniciando..."
"fr","reboot_info","Redémarrage..."
"it","reboot_info","Riavvio..."
"pt","reboot_info","Reiniciando..."
"se","reboot_info","Startar Om..."
"de","reboot_required","Requires Reboot"
"en","reboot_required","Requires Reboot"
"es","reboot_required","Requiere Reiniciar"
"fr","reboot_required","Requires Reboot"
"it","reboot_required","Requires Reboot"
"pt","reboot_required","Requires Reboot"
"se","reboot_required","Kräver Omstart"
"de","reset_config","Wiederherstellung System"
"en","reset_config","Restore System"
"es","reset_config","Restaurar Sistema"
"fr","reset_config","Restauration Système"
"it","reset_config","Ripristina Sistema"
"pt","reset_config","Restaurar Sistema"
"se","reset_config","Nollställ Systemet"
"de","restore_complete","Wiederherstellung abgeschlossen"
"en","restore_complete","Restore completed"
"es","restore_complete","Restauración finalizada"
"fr","restore_complete","Restauration terminée"
"it","restore_complete","Ripristino completato"
"pt","restore_complete","Restauração Concluída"
"se","restore_complete","Nollställning klar"
"de","restoring_defaults","Wiederherstellung System..."
"en","restoring_defaults","Restoring system..."
"es","restoring_defaults","Restaurando sistema..."
"fr","restoring_defaults","Restauration Système en cours..."
"it","restoring_defaults","Ripristinando il sistema..."
"pt","restoring_defaults","Restaurando sistema..."
"se","restoring_defaults","Nollställer Systemet..."
"de","retroarch_menu","RetroArch Menü"
"en","retroarch_menu","RetroArch Menu"
"es","retroarch_menu","Menú RetroArch"
"fr","retroarch_menu","Menu RetroArch"
"it","retroarch_menu","RetroArch Menu"
"pt","retroarch_menu","Menu RetroArch"
"se","retroarch_menu","RetroArch meny"
"de","retroarch_notif","Retroarch Msg"
"en","retroarch_notif","Retroarch Msg"
"es","retroarch_notif","Retroarch Msg"
"fr","retroarch_notif","Retroarch Msg"
"it","retroarch_notif","Retroarch Msg"
"pt","retroarch_notif","Retroarch Msg"
"se","retroarch_notif","Retroarch-notis"
"de","rotate_ccw","90º"
"en","rotate_ccw","90º"
"es","rotate_ccw","90º"
"fr","rotate_ccw","90º"
"it","rotate_ccw","90º"
"pt","rotate_ccw","90º"
"se","rotate_ccw","90º"
"de","rotate_cw","-90º"
"en","rotate_cw","-90º"
"es","rotate_cw","-90º"
"fr","rotate_cw","-90º"
"it","rotate_cw","-90º"
"pt","rotate_cw","-90º"
"se","rotate_cw","-90º"
"de","rotate_full","180º"
"en","rotate_full","180º"
"es","rotate_full","180º"
"fr","rotate_full","180º"
"it","rotate_full","180º"
"pt","rotate_full","180º"
"se","rotate_full","180º"
"de","saving","Speichern.."
"en","saving","Saving..."
"es","saving","Guardando..."
"fr","saving","Sauvegarde..."
"it","saving","Salvataggio..."
"pt","saving","Guardando..."
"se","saving","Sparar..."
"de","scan_games","Scan Games"
"en","scan_games","Scan Games"
"es","scan_games","Escanear Juegos"
"fr","scan_games","Scan Games"
"it","scan_games","Scan Games"
"pt","scan_games","Scan Games"
"se","scan_games","Scanna Spel"
"de","scan_scrape_eur","Display EUR Info"
"en","scan_scrape_eur","Display EUR Info"
"es","scan_scrape_eur","Mostrar info EUR"
"fr","scan_scrape_eur","Display EUR Info"
"it","scan_scrape_eur","Display EUR Info"
"pt","scan_scrape_eur","Display EUR Info"
"se","scan_scrape_eur","Visa EUR Info"
"de","scan_scrape_jap","Display JPN Info"
"en","scan_scrape_jap","Display JPN Info"
"es","scan_scrape_jap","Mostrar info JPN"
"fr","scan_scrape_jap","Display JPN Info"
"it","scan_scrape_jap","Display JPN Info"
"pt","scan_scrape_jap","Display JPN Info"
"se","scan_scrape_jap","Visa JPN Info"
"de","scan_scrape_usa","Display USA Info"
"en","scan_scrape_usa","Display USA Info"
"es","scan_scrape_usa","Mostrar info USA"
"fr","scan_scrape_usa","Display USA Info"
"it","scan_scrape_usa","Display USA Info"
"pt","scan_scrape_usa","Display USA Info"
"se","scan_scrape_usa","Visa USA Info"
"de","scanning","Scanning..."
"en","scanning","Scanning..."
"es","scanning","Escaneando..."
"fr","scanning","Scanning..."
"it","scanning","Scanning..."
"pt","scanning","Scanning..."
"se","scanning","Scannar..."
"de","scr_update","Scraper Update"
"en","scr_update","Scraper Update"
"es","scr_update","Actualizar Scraper"
"fr","scr_update","Scraper Update"
"it","scr_update","Scraper Update"
"pt","scr_update","Scraper Update"
"se","scr_update","Uppdatera Spelinfo"
"de","screensaver","Bildschirmschoner"
"en","screensaver","Screensaver"
"es","screensaver","Salvapantallas"
"fr","screensaver","Économiseur d'écran"
"it","screensaver","Salvaschermo"
"pt","screensaver","Protector de Ecrâ"
"se","screensaver","Skärmsläckare"
"de","screensaver_time","Bildschirmschoner warten"
"en","screensaver_time","Screensaver Wait"
"es","screensaver_time","Espera Salvapantallas"
"fr","screensaver_time","Temps d'attente pour l'économiseur d'écran"
"it","screensaver_time","Tempo di attesa per Salvaschermo"
"pt","screensaver_time","Tempo Protector de Ecrâ"
"se","screensaver_time","Skärmsläckare Efter"
"de","sd","SD"
"en","sd","SD"
"es","sd","SD"
"fr","sd","SD"
"it","sd","SD"
"pt","sd","SD"
"se","sd","SD"
"se","se","Svenska"
"de","search_bt_joys","Suche Geräte"
"en","search_bt_joys","Search Devices"
"es","search_bt_joys","Buscar Dispositivos"
"fr","search_bt_joys","Recherche d'appareils"
"it","search_bt_joys","Cerca Dispositivi"
"pt","search_bt_joys","Procurar Dispositivos"
"se","search_bt_joys","Sök Enheter"
"de","search_info","Suchen.."
"en","search_info","Searching..."
"es","search_info","Buscando..."
"fr","search_info","Recherche en cours..."
"it","search_info","Cercando..."
"pt","search_info","Procurando..."
"se","search_info","Letar..."
"de","search_wifi","Search Networks"
"en","search_wifi","Search Networks"
"es","search_wifi","Buscar Redes"
"fr","search_wifi","Search Networks"
"it","search_wifi","Search Networks"
"pt","search_wifi","Search Networks"
"se","search_wifi","Leta Efter Nätverk"
"de","searching_update","Auf Updates prüfen..."
"en","searching_update","Searching for update..."
"es","searching_update","Buscando actualización..."
"fr","searching_update","Recherche de mise à jour en cours..."
"it","searching_update","Cercando aggiornamenti..."
"pt","searching_update","Procurando actualização..."
"se","searching_update","Letar efter uppdatering..."
"de","sel_playlist","Selected Album"
"en","sel_playlist","Selected Album"
"es","sel_playlist","Album Seleccionado"
"fr","sel_playlist","Selected Album"
"it","sel_playlist","Selected Album"
"pt","sel_playlist","Selected Album"
"se","sel_playlist","Vald Spellista"
"de","server","Server"
"en","server","Server"
"es","server","Servidor"
"fr","server","Serveur"
"it","server","Server"
"pt","server","Servidor"
"se","server","Server"
"de","server_share","Server Share"
"en","server_share","Server Share"
"es","server_share","Server Share"
"fr","server_share","Server Share"
"it","server_share","Server Share"
"pt","server_share","Server Share"
"se","server_share","Servershare"
"de","sgb_color","SGB Palette"
"en","sgb_color","SGB Palette"
"es","sgb_color","Paleta SGB"
"fr","sgb_color","Palette SGB"
"it","sgb_color","Palette SGB"
"pt","sgb_color","Paleta SGB"
"se","sgb_color","SGB-palett"
"de","show_hotkey","Show Hotkeys"
"en","show_hotkey","Show Hotkeys"
"es","show_hotkey","Mostrar Hotkeys"
"fr","show_hotkey","Montrer Hotkeys"
"it","show_hotkey","Mostra Hotkeys"
"pt","show_hotkey","Mostrar Hotkeys"
"se","show_hotkey","Visa Snabbtangenter"
"de","show_kodi","Show RGBPi-Extra"
"en","show_kodi","Show RGBPi-Extra"
"es","show_kodi","Mostrar RGBPi-Extra"
"fr","show_kodi","Montrer RGBPi-Extra"
"it","show_kodi","Mostra RGBPi-Extra"
"pt","show_kodi","Mostrar RGBPi-Extra"
"se","show_kodi","Visa RGBPi-Extra"
"de","shutdown","Ausschalten"
"en","shutdown","Shutdown"
"es","shutdown","Apagar"
"fr","shutdown","Éteindre"
"it","shutdown","Spegni"
"pt","shutdown","Apagar"
"se","shutdown","Stäng av"
"de","skip_config_info","Gedrückt halten Button zu überspringen"
"en","skip_config_info","Hold down any button to skip"
"es","skip_config_info","Mantén presionado un botón para saltar"
"fr","skip_config_info","Appuyer longtemps pour passer au bouton suivant"
"it","skip_config_info","Tieni premuto per ignorare"
"pt","skip_config_info","Mantém pressionado para ignorar"
"se","skip_config_info","Tryck valfri knapp för nästa sida"
"de","slide_show","Slide Show"
"en","slide_show","Slide Show"
"es","slide_show","Slide Show"
"fr","slide_show","Slide Show"
"it","slide_show","Slide Show"
"pt","slide_show","Slide Show"
"se","slide_show","Bildspel"
"de","slowdown_fix","Slowdown Reduction"
"en","slowdown_fix","Slowdown Reduction"
"es","slowdown_fix","Mejora de Ralentizaciones"
"fr","slowdown_fix","Slowdown Reduction"
"it","slowdown_fix","Slowdown Reduction"
"pt","slowdown_fix","Slowdown Reduction"
"se","slowdown_fix","Minska Speluppbromsningar"
"de","slowdown_fix_warn","Can Cause Issues"
"en","slowdown_fix_warn","Can Cause Issues"
"es","slowdown_fix_warn","Puede Causar Problemas"
"fr","slowdown_fix_warn","Can Cause Issues"
"it","slowdown_fix_warn","Can Cause Issues"
"pt","slowdown_fix_warn","Can Cause Issues"
"se","slowdown_fix_warn","Can Cause Issues"
"de","smd","SMD"
"en","smd","SMD"
"es","smd","SMD"
"fr","smd","SMD"
"it","smd","SMD"
"pt","smd","SMD"
"se","smd","SMD"
"de","sms_sound","SMS FM Sound"
"en","sms_sound","SMS FM Sound"
"es","sms_sound","Sonido FM SMS"
"fr","sms_sound","Son FM SMS"
"it","sms_sound","SMS Suono FM"
"pt","sms_sound","Som FM SMS"
"se","sms_sound","SMS FM-ljud"
"de","snes","SNES"
"en","snes","SNES"
"es","snes","SNES"
"fr","snes","SNES"
"it","snes","SNES"
"pt","snes","SNES"
"se","snes","SNES"
"de","sony-cxa2025as-us","Sony-US-TV"
"en","sony-cxa2025as-us","Sony-US-TV"
"es","sony-cxa2025as-us","Sony-US-TV"
"fr","sony-cxa2025as-us","Sony-US-TV"
"it","sony-cxa2025as-us","Sony-US-TV"
"pt","sony-cxa2025as-us","Sony-US-TV"
"se","sony-cxa2025as-us","Sony-US-TV"
"de","sort_by_dev","Sortiert nach Developer"
"en","sort_by_dev","Sort by Developer"
"es","sort_by_dev","Ordenar por Desarrolador"
"fr","sort_by_dev","Trier par Developer"
"it","sort_by_dev","Ordina per Developer"
"pt","sort_by_dev","Ordenar por Desenvolvedor"
"se","sort_by_dev","Sortera Efter Utvecklare"
"de","sort_by_genre","Sortiert nach Genre"
"en","sort_by_genre","Sort by Genre"
"es","sort_by_genre","Ordenar por Género"
"fr","sort_by_genre","Trier par Genre"
"it","sort_by_genre","Ordina per Genre"
"pt","sort_by_genre","Ordenar por Genero"
"se","sort_by_genre","Sortera Efter Genre"
"de","sort_by_name","Sortiert nach Name"
"en","sort_by_name","Sort by Name"
"es","sort_by_name","Ordenar por Nombre"
"fr","sort_by_name","Trier par Nom"
"it","sort_by_name","Ordina per Nome"
"pt","sort_by_name","Ordenar por Nome"
"se","sort_by_name","Sortera Efter Namn"
"de","sort_by_players","Sortiert nach # Spieler"
"en","sort_by_players","Sort by No. Players"
"es","sort_by_players","Ordenar por # Jugadores"
"fr","sort_by_players","Trier par nombre de joueurs"
"it","sort_by_players","Ordina per # Giocate"
"pt","sort_by_players","Ordenar por nº de Jogadores"
"se","sort_by_players","Sortera Efter Antal Spelare"
"de","sort_by_system","Sortiert nach System"
"en","sort_by_system","Sort by System"
"es","sort_by_system","Ordenar por Sistema"
"fr","sort_by_system","Trier par Système"
"it","sort_by_system","Ordina per Sistema"
"pt","sort_by_system","Ordenar por Sistema"
"se","sort_by_system","Sortera Efter System"
"de","sort_by_year","Sortiert nach Jahr"
"en","sort_by_year","Sort by Year"
"es","sort_by_year","Ordenar por Año"
"fr","sort_by_year","Trier par Année"
"it","sort_by_year","Ordina per Anno"
"pt","sort_by_year","Ordenar por Ano"
"se","sort_by_year","Sortera Efter Släppdatum"
"de","sorting_info","Sortierung..."
"en","sorting_info","Sorting..."
"es","sorting_info","Ordenando..."
"fr","sorting_info","Triage en cours..."
"it","sorting_info","Ordinando..."
"pt","sorting_info","Ordenando..."
"se","sorting_info","Sorterar..."
"de","sound","Sound"
"en","sound","Sound"
"es","sound","Sonido"
"fr","sound","Son"
"it","sound","Suono"
"pt","sound","Som"
"se","sound","Ljud"
"de","sound_retroarch","RetroArch Extra"
"en","sound_retroarch","RetroArch Extra"
"es","sound_retroarch","RetroArch Extra"
"fr","sound_retroarch","RetroArch Extra"
"it","sound_retroarch","RetroArch Extra"
"pt","sound_retroarch","RetroArch Extra"
"se","sound_retroarch","RetroArch Extra"
"de","ssid_name","SSID Name"
"en","ssid_name","SSID Name"
"es","ssid_name","SSID Name"
"fr","ssid_name","SSID Name"
"it","ssid_name","SSID Name"
"pt","ssid_name","SSID Name"
"se","ssid_name","SSID"
"de","standard","Standard"
"en","standard","Standard"
"es","standard","Estándard"
"fr","standard","Standard"
"it","standard","Standard"
"pt","standard","Padrão"
"se","standard","Standard"
"de","start_2s","G.Menu/Start (2s)"
"en","start_2s","G.Menu/Start (2s)"
"es","start_2s","G.Menu/Start (2s)"
"fr","start_2s","G.Menu/Start (2s)"
"it","start_2s","G.Menu/Start (2s)"
"pt","start_2s","G.Menu/Start (2s)"
"se","start_2s","Spelmeny/Start (2s)"
"de","start_select","G.Menu/Start+Select"
"en","start_select","G.Menu/Start+Select"
"es","start_select","G.Menu/Start+Select"
"fr","start_select","G.Menu/Start+Select"
"it","start_select","G.Menu/Start+Select"
"pt","start_select","G.Menu/Start+Select"
"se","start_select","Spelmeny/Start+Select"
"de","start_select_inf","Start 2s in JAMMA"
"en","start_select_inf","Start 2s in JAMMA"
"es","start_select_inf","Start 2s en JAMMA"
"fr","start_select_inf","Start 2s in JAMMA"
"it","start_select_inf","Start 2s in JAMMA"
"pt","start_select_inf","Start 2s in JAMMA"
"se","start_select_inf","Start i 2 sek i JAMMA"
"de","stereo","Stereo"
"en","stereo","Stereo"
"es","stereo","Stereo"
"fr","stereo","Stereo"
"it","stereo","Stereo"
"pt","stereo","Stereo"
"se","stereo","Stereo"
"de","storage","Lagerung"
"en","storage","Storage"
"es","storage","Almacenamiento"
"fr","storage","Stockage"
"it","storage","Conservazone"
"pt","storage","Armazenamento"
"se","storage","Lagring"
"de","storage_info","Select Data Source"
"en","storage_info","Select Data Source"
"es","storage_info","Seleccione la Fuente de Datos"
"fr","storage_info","Select Data Source"
"it","storage_info","Select Data Source"
"pt","storage_info","Select Data Source"
"se","storage_info","Montera Lagringsmedium"
"de","superx","SuperX"
"en","superx","SuperX"
"es","superx","SuperX"
"fr","superx","SuperX"
"it","superx","SuperX"
"pt","superx","SuperX"
"se","superx","SuperX"
"de","sys_update","Update System"
"en","sys_update","System Update"
"es","sys_update","Actualizar Sistema"
"fr","sys_update","Mise à jour Système"
"it","sys_update","Aggiorna Sistema"
"pt","sys_update","Actualizar Sistema"
"se","sys_update","Systemuppdatering"
"de","system","System"
"en","system","System"
"es","system","Sistema"
"fr","system","Système"
"it","system","Sistema"
"pt","system","Sistema"
"se","system","System"
"de","system_help","Help"
"en","system_help","Help"
"es","system_help","Ayuda"
"fr","system_help","Aide"
"it","system_help","Aiuto"
"pt","system_help","Ajuda"
"se","system_help","Hjälp"
"de","system_music","Musik"
"en","system_music","Music"
"es","system_music","Música"
"fr","system_music","Musique"
"it","system_music","Musica"
"pt","system_music","Música"
"se","system_music","Musik"
"de","system_music_vol","Music Volume"
"en","system_music_vol","Music Volume"
"es","system_music_vol","Volumen Música"
"fr","system_music_vol","Volume Musique"
"it","system_music_vol","Volume Musica"
"pt","system_music_vol","Volume Música"
"se","system_music_vol","Volym Musik"
"de","system_sounds","Sounds"
"en","system_sounds","Sounds"
"es","system_sounds","Sonidos"
"fr","system_sounds","Sons"
"it","system_sounds","Suoni"
"pt","system_sounds","Sons"
"se","system_sounds","Ljud"
"de","system_sounds_vol","FX Volume"
"en","system_sounds_vol","FX Volume"
"es","system_sounds_vol","Volumen FX"
"fr","system_sounds_vol","Volume FX"
"it","system_sounds_vol","Volume FX"
"pt","system_sounds_vol","Volume FX"
"se","system_sounds_vol","Volym Ljudeffekter"
"de","system_vol","Volume"
"en","system_vol","Volume"
"es","system_vol","Volumen"
"fr","system_vol","Volume"
"it","system_vol","Volume"
"pt","system_vol","Volume"
"se","system_vol","Volym"
"de","systems","SYSTEME"
"en","systems","SYSTEMS"
"es","systems","SISTEMAS"
"fr","systems","SYSTÈMES"
"it","systems","SISTEMI"
"pt","systems","SISTEMAS"
"se","systems","SYSTEM"
"de","temp_warning","High Temperature"
"en","temp_warning","High Temperature"
"es","temp_warning","Temperatura Alta"
"fr","temp_warning","High Temperature"
"it","temp_warning","High Temperature"
"pt","temp_warning","High Temperature"
"se","temp_warning","Hög Temperatur"
"de","temperature","Temperatur"
"de","temperature","Temperature"
"en","temperature","Temperature"
"en","temperature","Temperature"
"es","temperature","Temperatura"
"es","temperature","Temperatura"
"fr","temperature","Temperature"
"fr","temperature","Température"
"it","temperature","Temperatura"
"it","temperature","Temperature"
"pt","temperature","Temperatura"
"pt","temperature","Temperature"
"se","temperature","Temperatur"
"de","theme","Theme"
"en","theme","Theme"
"es","theme","Tema"
"fr","theme","Theme"
"it","theme","Tema"
"pt","theme","Theme"
"se","theme","Tema"
"de","title","Title"
"en","title","Title"
"es","title","Título"
"fr","title","Titre"
"it","title","Title"
"pt","title","Nome"
"se","title","Titel"
"de","toggle_favorite","Set/Unset Favorite"
"en","toggle_favorite","Set/Unset Favorite"
"es","toggle_favorite","Añadir/Quitar Favorito"
"fr","toggle_favorite","Sélectionner/Enlever Favoris"
"it","toggle_favorite","Aggiungi/Togli Favoriti"
"pt","toggle_favorite","Set/Unset Favorite"
"se","toggle_favorite","Lägg Till/Ta Bort Favorit"
"de","top_system","Top System"
"en","top_system","Top System"
"es","top_system","Top Sistema"
"fr","top_system","Top Système"
"it","top_system","Sistema Preferito"
"pt","top_system","Top Sistema"
"se","top_system","Favoritsystem"
"de","ui_rotation","Rotation"
"en","ui_rotation","Rotation"
"es","ui_rotation","Rotación"
"fr","ui_rotation","Rotation"
"it","ui_rotation","Rotazione"
"pt","ui_rotation","Rotação"
"se","ui_rotation","Rotation"
"de","unexpected_error","Unerwarteter Fehler!"
"en","unexpected_error","Unexpected Error!"
"es","unexpected_error","Error Inesperado!"
"fr","unexpected_error","Erreur Innatendue!"
"it","unexpected_error","Errore Inaspettato!"
"pt","unexpected_error","Erro inesperado!"
"se","unexpected_error","Oväntat Fel!"
"de","uni","UniBIOS"
"en","uni","UniBIOS"
"es","uni","UniBIOS"
"fr","uni","UniBIOS"
"it","uni","UniBIOS"
"pt","uni","UniBIOS"
"se","uni","UniBIOS"
"de","unit_in_use","Unit already in use!"
"en","unit_in_use","Unit already in use!"
"es","unit_in_use","La unidad ya está en uso!"
"fr","unit_in_use","Unit already in use!"
"it","unit_in_use","Unit already in use!"
"pt","unit_in_use","Unit already in use!"
"se","unit_in_use","Enheten redan i bruk!"
"de","unlocked","Unlocked"
"en","unlocked","Unlocked"
"es","unlocked","Desbloqueado"
"fr","unlocked","Unlocked"
"it","unlocked","Unlocked"
"pt","unlocked","Unlocked"
"se","unlocked","Öppen"
"de","unmounting_unit","Unmounting unit"
"en","unmounting_unit","Unmounting unit"
"es","unmounting_unit","Desmontando la unidad"
"fr","unmounting_unit","Unmounting unit"
"it","unmounting_unit","Unmounting unit"
"pt","unmounting_unit","Unmounting unit"
"se","unmounting_unit","Avmonterar enhet"
"de","unpair_bt_info","Verbindung wird getrennt..."
"en","unpair_bt_info","Unpairing..."
"es","unpair_bt_info","Desemparejando..."
"fr","unpair_bt_info","Désappairage"
"it","unpair_bt_info","Discaccoppiamento..."
"pt","unpair_bt_info","Desemparelhando..."
"se","unpair_bt_info","Tar bort parad enhet..."
"de","update_complete","Update abgeschlossen"
"en","update_complete","Update completed"
"es","update_complete","Actualización finalizada"
"fr","update_complete","Mise à jour terminée"
"it","update_complete","Aggiornamento completato"
"pt","update_complete","Actualização completada"
"se","update_complete","Uppdatering färdigställd"
"de","update_error","Ein Fehler ist aufgetreten"
"en","update_error","An error has occurred"
"es","update_error","Se ha producido un error"
"fr","update_error","Une erreur s'est produite"
"it","update_error","Si è verificato un errore"
"pt","update_error","Ocorreu um erro"
"se","update_error","Det har skett ett fel!"
"de","update_not_found","Keine Updates verfügbar"
"en","update_not_found","No updates available"
"es","update_not_found","No hay actualizaciones"
"fr","update_not_found","Pas de mise à jour disponible"
"it","update_not_found","Nessun aggiornamento disponibile"
"pt","update_not_found","Não existem actualizações"
"se","update_not_found","Inga nya uppdateringar"
"de","usb1","USB1"
"en","usb1","USB1"
"es","usb1","USB1"
"fr","usb1","USB1"
"it","usb1","USB1"
"pt","usb1","USB1"
"se","usb1","USB1"
"de","usb2","USB2"
"en","usb2","USB2"
"es","usb2","USB2"
"fr","usb2","USB2"
"it","usb2","USB2"
"pt","usb2","USB2"
"se","usb2","USB2"
"de","user_remaps","User Remaps"
"en","user_remaps","User Remaps"
"es","user_remaps","Remaps de Usuario"
"fr","user_remaps","User Remaps"
"it","user_remaps","User Remaps"
"pt","user_remaps","User Remaps"
"se","user_remaps","Personliga Ommappningar"
"de","user_scrap","User Scrap"
"en","user_scrap","User Scrap"
"es","user_scrap","Scrap de Usuario"
"fr","user_scrap","User Scrap"
"it","user_scrap","User Scrap"
"pt","user_scrap","User Scrap"
